id,age,gender,size,breed,image_path
46744842,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\46744842.jpg
46717321,Adult,Male,Extra Large,Abyssinian,data\images\Abyssinian\46717321.jpg
46626338,Senior,Female,Medium,Abyssinian,data\images\Abyssinian\46626338.jpg
46620170,Baby,Female,Small,Abyssinian,data\images\Abyssinian\46620170.jpg
46582751,Young,Female,Medium,Abyssinian,data\images\Abyssinian\46582751.jpg
46503423,Young,Male,Medium,Abyssinian,data\images\Abyssinian\46503423.jpg
46463847,Adult,Male,Medium,Abyssinian,data\images\Abyssinian\46463847.jpg
46378434,Baby,Male,Small,Abyssinian,data\images\Abyssinian\46378434.jpg
46372312,Baby,Male,Small,Abyssinian,data\images\Abyssinian\46372312.jpg
46305208,Senior,Male,Medium,Abyssinian,data\images\Abyssinian\46305208.jpg
46293180,Young,Male,Small,Abyssinian,data\images\Abyssinian\46293180.jpg
46268318,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\46268318.jpg
46267252,Adult,Male,Medium,Abyssinian,data\images\Abyssinian\46267252.jpg
46262849,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\46262849.jpg
46259475,Young,Male,Medium,Abyssinian,data\images\Abyssinian\46259475.jpg
46251119,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\46251119.jpg
46226177,Senior,Female,Small,Abyssinian,data\images\Abyssinian\46226177.jpg
46167255,Young,Male,Small,Abyssinian,data\images\Abyssinian\46167255.jpg
46105561,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\46105561.jpg
46105551,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\46105551.jpg
46004141,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\46004141.jpg
46003742,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\46003742.jpg
46003585,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\46003585.jpg
46003116,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\46003116.jpg
46002278,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\46002278.jpg
46002248,Young,Female,Medium,Abyssinian,data\images\Abyssinian\46002248.jpg
46002027,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\46002027.jpg
46001333,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\46001333.jpg
46000460,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\46000460.jpg
45999482,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45999482.jpg
46000817,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\46000817.jpg
45997545,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45997545.jpg
46000606,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\46000606.jpg
45997474,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45997474.jpg
45997305,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\45997305.jpg
45999770,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45999770.jpg
45997693,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45997693.jpg
45997661,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45997661.jpg
45996727,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45996727.jpg
45996707,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45996707.jpg
45995835,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45995835.jpg
45995117,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45995117.jpg
45996549,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45996549.jpg
45996433,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\45996433.jpg
45994835,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45994835.jpg
45995527,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45995527.jpg
45994758,Adult,Female,Medium,Abyssinian,data\images\Abyssinian\45994758.jpg
45995934,Young,Female,Medium,Abyssinian,data\images\Abyssinian\45995934.jpg
45994521,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45994521.jpg
45993950,Young,Female,Medium,Abyssinian,data\images\Abyssinian\45993950.jpg
45993745,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45993745.jpg
45994029,Young,Female,Medium,Abyssinian,data\images\Abyssinian\45994029.jpg
45993430,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45993430.jpg
45992545,Baby,Male,Medium,Abyssinian,data\images\Abyssinian\45992545.jpg
45948803,Young,Male,Small,Abyssinian,data\images\Abyssinian\45948803.jpg
45938991,Adult,Male,Medium,Abyssinian,data\images\Abyssinian\45938991.jpg
45859276,Young,Female,Small,Abyssinian,data\images\Abyssinian\45859276.jpg
45820394,Young,Female,Medium,Abyssinian,data\images\Abyssinian\45820394.jpg
45818888,Adult,Male,Medium,Abyssinian,data\images\Abyssinian\45818888.jpg
45818386,Adult,Female,Small,Abyssinian,data\images\Abyssinian\45818386.jpg
45809064,Young,Male,Large,Abyssinian,data\images\Abyssinian\45809064.jpg
45809083,Adult,Male,Large,Abyssinian,data\images\Abyssinian\45809083.jpg
45799083,Young,Female,Small,Abyssinian,data\images\Abyssinian\45799083.jpg
45549266,Young,Female,Medium,Abyssinian,data\images\Abyssinian\45549266.jpg
45537021,Young,Female,Small,Abyssinian,data\images\Abyssinian\45537021.jpg
45457706,Baby,Female,Small,Abyssinian,data\images\Abyssinian\45457706.jpg
45350203,Senior,Female,Medium,Abyssinian,data\images\Abyssinian\45350203.jpg
45269682,Baby,Female,Medium,Abyssinian,data\images\Abyssinian\45269682.jpg
45264277,Senior,Male,Large,Abyssinian,data\images\Abyssinian\45264277.jpg
45162546,Young,Female,Medium,Abyssinian,data\images\Abyssinian\45162546.jpg
45019162,Baby,Female,Small,Abyssinian,data\images\Abyssinian\45019162.jpg
45013917,Baby,Female,Small,Abyssinian,data\images\Abyssinian\45013917.jpg
44972038,Young,Female,Small,Abyssinian,data\images\Abyssinian\44972038.jpg
44947029,Adult,Male,Medium,Abyssinian,data\images\Abyssinian\44947029.jpg
44927473,Adult,Male,Medium,Abyssinian,data\images\Abyssinian\44927473.jpg
46627369,Baby,Male,Small,American Bobtail,data\images\American Bobtail\46627369.jpg
46612353,Baby,Female,Small,American Bobtail,data\images\American Bobtail\46612353.jpg
46612245,Baby,Male,Small,American Bobtail,data\images\American Bobtail\46612245.jpg
46407781,Young,Male,Medium,American Bobtail,data\images\American Bobtail\46407781.jpg
46355896,Adult,Female,Medium,American Bobtail,data\images\American Bobtail\46355896.jpg
